ItemTitle,EANBarCode,ItemTextDescription,PackSize,ReOrderLevel,ReorderAtOutOfStock,Flag,CountryOfManufacture,HSTariffCode,Managed,ActivePricingProfile,ActiveTaxProfile,Supplier1,Supplier2,Supplier3,Supplier4,SKU,Condition,StockLevel,CostPrice,IsKit,DepthMM,HeightMM,WidthMM,WeightGrams,GoodID,ListingCategory1,ListingCategory2,ASIN__SPEC,B2BLowerBound1__SPEC,B2BLowerBound2__SPEC,B2BLowerBound3__SPEC,B2BLowerBound4__SPEC,B2BLowerBound5__SPEC,B2BMethod__SPEC,B2BOverride__SPEC,B2BPrice0__SPEC,B2BPrice1__SPEC,B2BPrice2__SPEC,B2BPrice3__SPEC,B2BPrice4__SPEC,B2BPrice5__SPEC,FixedPriceOverride__SPEC,Image1__SPEC,ItemNote__SPEC,SetStockToZero__SPEC,MarketplaceSKU__SPEC,MaximumListQuantity__SPEC,MaxPriceOverride__SPEC,MinimumListQuantity__SPEC,MinPriceOverride__SPEC,SalePrice__SPEC,SalePriceFromDate__SPEC,SalePriceToDate__SPEC,SendRegulatoryData
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301114,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRHBPC,1,118,0.59,FALSE,,,,,f45212f7-d99a-4e57-a3b5-7ab2061c70ba,,,B003XR7EMY,,,,,,,false,,,,,,,,,,false,BG-GRHBPC,,3.67,,2.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301076,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRHTBS,1,39,0.56,FALSE,,,,,f808e4ab-2d00-4033-8973-07dd3c5388ca,,,B00WRBJZRO,,,,,,,false,,,,,,,,,,false,BG-GRHTBS,,4.67,,2.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301068,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRMWBS,1,21,1.05,FALSE,,,,,383646a7-823e-47bf-9695-3b7ea1d065bc,,,B003XR7EO2,,,,,,,false,,,,,,,,,,false,BG-GRMWBS_1,,3.67,,2.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301122,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRMWPC,1,10,1.05,FALSE,,,,,d804b330-acb8-40c0-9d50-3d6b86f672e5,,,B003XR5EFS,,,,,,,false,,,,,,,,,,false,BG-GRMWPC,,1.87,,1.44,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301061,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GROVBS,1,111,0.59,FALSE,,,,5,0eee58e7-619f-40bf-9fd4-9cc1d426f603,,,B003XRB268,,,,,,,false,,,,,,,,,,false,BG-GROVBS_1,,3.67,,2.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",5050765015202,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRTDBS,1,53,1.05,FALSE,,,,3,cf114aad-3304-44c2-8d7b-4133efbc1e8c,,,B003XR7ES8,,,,,,,false,,,,,,,,,,false,BG-GRTDBS_1,,3.67,,2.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301118,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRTDPC,1,29,0.59,FALSE,,,,,fff4fdad-4bcb-440c-b521-ea7ea7b46e34,,,B003XR4AEY,,,,,,,false,,,,,,,,,,false,BG-GRTDPC,,3.67,,2.16,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301077,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRUPBS,1,87,0.59,FALSE,,,,,789b28b2-5680-4cf5-847c-91152b01f86a,,,B003XR5EJY,,,,,,,false,,,,,,,,,,false,BG-GRUPBS,,3.67,,2.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301131,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRUPPC,1,10,0.59,FALSE,,,,,984574ea-9163-4366-8f79-b56be8a13877,,,B003XR5EKS,,,,,,,false,,,,,,,,,,false,BG-GRUPPC,,3.67,,2.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301071,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRWDISBS,1,19,0.56,FALSE,,,,,5d52c6b8-7acb-4d8b-8a24-a749140902d1,,,B003XRB2CM,,,,,,,false,,,,,,,,,,false,BG-GRWDISBS_1,,3.67,,2.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301070,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRWHBS,1,44,0.56,FALSE,,,,,3c281759-ea5c-4dda-a45e-6e541fefcc8d,,,B003XRB2D6,,,,,,,false,,,,,,,,,,false,BG-GRWHBS_1,,3.67,,2.16,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301063,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRWMBS,1,87,1.05,FALSE,,,,,6eb5ec6b-1203-42c2-9fcc-7bfa3a387134,,,B003XR7EY2,,,,,,,false,,,,,,,,,,false,BG-GRWMBS_1,,3.89,,3.54,,,,
"BG - Nexus Grid Range Wiring Accessories - Modules, Front Plates, Frames, Boxes & Rockers",0000000301117,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-GRWMPC,1,31,1.05,FALSE,,,,,f20dcc7e-7e03-4240-a232-d0aef1b165de,,,B003XR9FJE,,,,,,,false,,,,,,,,,,false,BG-GRWMPC,,3.67,,2.54,,,,
BG Electrical HGS05 2 Gang 35mm Recessed Metal Box,5021166005000,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-HGS05,1,0,0.35,FALSE,,,,,513713e7-c3f3-4abc-bf69-41687ac25fe1,,,B0D1G9VGTP,,,,,,,false,,,,,,,,,,false,BG-HGS05,,2.41,,2.01,,,,
BG HGS912 Nexus Grid 9 and 12 Gang Triple Flush Mount Box,00000003021046,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-HGS912,1,8,3.00,FALSE,,,,,597b4901-a588-4c18-adfa-b56f79e012e3,,,B0D1G94942,,,,,,,false,,,,,,,,,,false,BG-HGS912,,14.04,,11.7,,,,
BG MC501 | Metal Clad 1 Gang and 2 Gang Grid Surface Mounting Box,5021166050109,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-MC501-15,1,29,1.95,TRUE,,,,,b0b7a4cf-9731-40a5-a2e9-4d9b85e89d90,,,B0DVBCSDDB,,,,,,,false,,,,,,,,,,false,BG-MC501-15,,9.61,,7.61,,,,false
BG MC503 Nexus Grid | 6 and 8 Gang Double Surface or Flush Mount Box,5050765014847,,1,,FALSE,,,,TRUE,Amazon Refresh,VAT,,,,,BG-MC503-16,1,49,4.46,TRUE,,,,,9385b5c1-a5de-4852-b8f6-0573243670e6,,,B0DVBZ5LC7,,,,,,,false,,,,,,,,,,false,BG-MC503-16,,14.99,,12.99,,,,false
